Instruction,Word,song,valence,arousal,marker,pracwords.thisRepN,pracwords.thisTrialN,pracwords.thisN,pracwords.thisIndex,songtrials.thisRepN,songtrials.thisTrialN,songtrials.thisN,songtrials.thisIndex,words.thisRepN,words.thisTrialN,words.thisN,words.thisIndex,begin.keys,begin.rt,arousalkey.keys,arousalkey.rt,valencekey.keys,valencekey.rt,WordResponse.keys,WordResponse.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,space,14.305990447999648,,,,,,,999,001,2019_Apr_09_1625,MusicAffectPsychophysiology2019,3.0.5,60.203984464624064,
,,,,,,,,,,,,,,,,,,,,3,10.167540747000203,,,,,999,001,2019_Apr_09_1625,MusicAffectPsychophysiology2019,3.0.5,60.203984464624064,
,,,,,,,,,,,,,,,,,,,,,,4,3.8853336379997927,,,999,001,2019_Apr_09_1625,MusicAffectPsychophysiology2019,3.0.5,60.203984464624064,
To what extent did the music make you feel ,SCARED,,,,,0,0,0,11,,,,,,,,,,,,,,,1,5.816914107999764,999,001,2019_Apr_09_1625,MusicAffectPsychophysiology2019,3.0.5,60.203984464624064,
To what extent did the music make you feel ,HAPPY,,,,,0,1,1,6,,,,,,,,,,,,,,,3,5.167832934999751,999,001,2019_Apr_09_1625,MusicAffectPsychophysiology2019,3.0.5,60.203984464624064,
To what extent did the music make you feel ,TENDER,,,,,0,2,2,10,,,,,,,,,,,,,,,4,2.7999846379998417,999,001,2019_Apr_09_1625,MusicAffectPsychophysiology2019,3.0.5,60.203984464624064,
To what extent did the music make you feel ,SAD,,,,,0,3,3,0,,,,,,,,,,,,,,,2,2.5181842869997126,999,001,2019_Apr_09_1625,MusicAffectPsychophysiology2019,3.0.5,60.203984464624064,
To what extent did the music make you feel ,EXCITED,,,,,0,4,4,7,,,,,,,,,,,,,,,2,3.367676252999445,999,001,2019_Apr_09_1625,MusicAffectPsychophysiology2019,3.0.5,60.203984464624064,
To what extent did the music make you feel ,GUILTY,,,,,0,5,5,5,,,,,,,,,,,,,,,1,1.0509607970006982,999,001,2019_Apr_09_1625,MusicAffectPsychophysiology2019,3.0.5,60.203984464624064,
To what extent did the music make you feel ,FRUSTRATED,,,,,0,6,6,3,,,,,,,,,,,,,,,1,1.067998644999534,999,001,2019_Apr_09_1625,MusicAffectPsychophysiology2019,3.0.5,60.203984464624064,
To what extent did the music make you feel ,ASHAMED,,,,,0,7,7,4,,,,,,,,,,,,,,,1,0.7006188249997649,999,001,2019_Apr_09_1625,MusicAffectPsychophysiology2019,3.0.5,60.203984464624064,
