Instruction,song,valence,arousal,marker,pracwords.thisRepN,pracwords.thisTrialN,pracwords.thisN,pracwords.thisIndex,songtrials.thisRepN,songtrials.thisTrialN,songtrials.thisN,songtrials.thisIndex,words.thisRepN,words.thisTrialN,words.thisN,words.thisIndex,begin.keys,begin.rt,arousalkey.keys,arousalkey.rt,valencekey.keys,valencekey.rt,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,space,3.728740454884246,,,,,,,999,001,2019_Apr_09_1036,MusicAffectPsychophysiology2019,3.0.5,60.295284837726186,
,,,,,,,,,,,,,,,,,,,1,2.0020096000516787,,,,,999,001,2019_Apr_09_1036,MusicAffectPsychophysiology2019,3.0.5,60.295284837726186,
,,,,,,,,,,,,,,,,,,,,,1,1.8018666369607672,,,999,001,2019_Apr_09_1036,MusicAffectPsychophysiology2019,3.0.5,60.295284837726186,
To what extent did the music make you feel EXCITED,,,,,0,0,0,7,,,,,,,,,,,,,,,3,14.401732009951957,999,001,2019_Apr_09_1036,MusicAffectPsychophysiology2019,3.0.5,60.295284837726186,
To what extent did the music make you feel HAPPY,,,,,0,1,1,6,,,,,,,,,,,,,,,3,0.4339682230493054,999,001,2019_Apr_09_1036,MusicAffectPsychophysiology2019,3.0.5,60.295284837726186,
To what extent did the music make you feel ACTIVE,,,,,0,2,2,9,,,,,,,,,,,,,,,3,0.38517587701790035,999,001,2019_Apr_09_1036,MusicAffectPsychophysiology2019,3.0.5,60.295284837726186,
To what extent did the music make you feel ANXIOUS ,,,,,0,3,3,1,,,,,,,,,,,,,,,3,0.40193418005947024,999,001,2019_Apr_09_1036,MusicAffectPsychophysiology2019,3.0.5,60.295284837726186,
To what extent did the music make you feel SAD,,,,,0,4,4,0,,,,,,,,,,,,,,,3,0.36762560601346195,999,001,2019_Apr_09_1036,MusicAffectPsychophysiology2019,3.0.5,60.295284837726186,
To what extent did the music make you feel ALERT,,,,,0,5,5,8,,,,,,,,,,,,,,,3,0.40208860801067203,999,001,2019_Apr_09_1036,MusicAffectPsychophysiology2019,3.0.5,60.295284837726186,
To what extent did the music make you feel GUILTY,,,,,0,6,6,5,,,,,,,,,,,,,,,3,0.3852721309522167,999,001,2019_Apr_09_1036,MusicAffectPsychophysiology2019,3.0.5,60.295284837726186,
To what extent did the music make you feel SCARED,,,,,0,7,7,11,,,,,,,,,,,,,,,3,0.4193990200292319,999,001,2019_Apr_09_1036,MusicAffectPsychophysiology2019,3.0.5,60.295284837726186,
To what extent did the music make you feel FRUSTRATED,,,,,0,8,8,3,,,,,,,,,,,,,,,3,0.43428554793354124,999,001,2019_Apr_09_1036,MusicAffectPsychophysiology2019,3.0.5,60.295284837726186,
To what extent did the music make you feel ASHAMED,,,,,0,9,9,4,,,,,,,,,,,,,,,3,0.4019198250025511,999,001,2019_Apr_09_1036,MusicAffectPsychophysiology2019,3.0.5,60.295284837726186,
To what extent did the music make you feel TENDER,,,,,0,10,10,10,,,,,,,,,,,,,,,3,0.4359051969368011,999,001,2019_Apr_09_1036,MusicAffectPsychophysiology2019,3.0.5,60.295284837726186,
To what extent did the music make you feel ANGRY,,,,,0,11,11,2,,,,,,,,,,,,,,,3,0.4690453769871965,999,001,2019_Apr_09_1036,MusicAffectPsychophysiology2019,3.0.5,60.295284837726186,
To what extent did the music make you feel ACTIVE,30MonoWAV/30MonoT2.wav,2,1,14,,,,,0,0,0,13,0,0,0,9,,,2,2.4692172741051763,2,0.4019030400086194,2,0.9185859329300001,999,001,2019_Apr_09_1036,MusicAffectPsychophysiology2019,3.0.5,60.295284837726186,
To what extent did the music make you feel EXCITED,30MonoWAV/30MonoT2.wav,2,1,14,,,,,0,0,0,13,0,1,1,7,,,,,,,2,0.3512258530827239,999,001,2019_Apr_09_1036,MusicAffectPsychophysiology2019,3.0.5,60.295284837726186,
To what extent did the music make you feel SCARED,30MonoWAV/30MonoT2.wav,2,1,14,,,,,0,0,0,13,0,2,2,11,,,,,,,2,0.40218820702284575,999,001,2019_Apr_09_1036,MusicAffectPsychophysiology2019,3.0.5,60.295284837726186,
To what extent did the music make you feel ANGRY,30MonoWAV/30MonoT2.wav,2,1,14,,,,,0,0,0,13,0,3,3,2,,,,,,,2,0.4027644479647279,999,001,2019_Apr_09_1036,MusicAffectPsychophysiology2019,3.0.5,60.295284837726186,
To what extent did the music make you feel ASHAMED,30MonoWAV/30MonoT2.wav,2,1,14,,,,,0,0,0,13,0,4,4,4,,,,,,,2,0.3860702250385657,999,001,2019_Apr_09_1036,MusicAffectPsychophysiology2019,3.0.5,60.295284837726186,
To what extent did the music make you feel FRUSTRATED,30MonoWAV/30MonoT2.wav,2,1,14,,,,,0,0,0,13,0,5,5,3,,,,,,,2,0.41942109598312527,999,001,2019_Apr_09_1036,MusicAffectPsychophysiology2019,3.0.5,60.295284837726186,
To what extent did the music make you feel SAD,30MonoWAV/30MonoT2.wav,2,1,14,,,,,0,0,0,13,0,6,6,0,,,,,,,2,0.43491251103114337,999,001,2019_Apr_09_1036,MusicAffectPsychophysiology2019,3.0.5,60.295284837726186,
To what extent did the music make you feel ANXIOUS ,30MonoWAV/30MonoT2.wav,2,1,14,,,,,0,0,0,13,0,7,7,1,,,,,,,2,0.7363084231037647,999,001,2019_Apr_09_1036,MusicAffectPsychophysiology2019,3.0.5,60.295284837726186,
To what extent did the music make you feel ALERT,30MonoWAV/30MonoT2.wav,2,1,14,,,,,0,0,0,13,0,8,8,8,,,,,,,2,0.4023470060201362,999,001,2019_Apr_09_1036,MusicAffectPsychophysiology2019,3.0.5,60.295284837726186,
To what extent did the music make you feel HAPPY,30MonoWAV/30MonoT2.wav,2,1,14,,,,,0,0,0,13,0,9,9,6,,,,,,,2,0.4190158190904185,999,001,2019_Apr_09_1036,MusicAffectPsychophysiology2019,3.0.5,60.295284837726186,
To what extent did the music make you feel TENDER,30MonoWAV/30MonoT2.wav,2,1,14,,,,,0,0,0,13,0,10,10,10,,,,,,,2,0.419469585060142,999,001,2019_Apr_09_1036,MusicAffectPsychophysiology2019,3.0.5,60.295284837726186,
