Instruction,n,key_resp_3.keys_raw,key_resp_3.rt_mean,key_resp_3.rt_raw,key_resp_3.rt_std,order
To what extent did the music make you feel SAD,1.0,'3',0.3676255941390991,0.3676255941390991,0.0,4.0
To what extent did the music make you feel ANXIOUS ,1.0,'3',0.4019341766834259,0.4019341766834259,0.0,3.0
To what extent did the music make you feel ANGRY,1.0,'3',0.46904537081718445,0.46904537081718445,0.0,11.0
To what extent did the music make you feel FRUSTRATED,1.0,'3',0.43428555130958557,0.43428555130958557,0.0,8.0
To what extent did the music make you feel ASHAMED,1.0,'3',0.40191981196403503,0.40191981196403503,0.0,9.0
To what extent did the music make you feel GUILTY,1.0,'3',0.38527214527130127,0.38527214527130127,0.0,6.0
To what extent did the music make you feel HAPPY,1.0,'3',0.4339682161808014,0.4339682161808014,0.0,1.0
To what extent did the music make you feel EXCITED,1.0,'3',14.401732444763184,14.401732444763184,0.0,0.0
To what extent did the music make you feel ALERT,1.0,'3',0.40208861231803894,0.40208861231803894,0.0,5.0
To what extent did the music make you feel ACTIVE,1.0,'3',0.385175883769989,0.385175883769989,0.0,2.0
To what extent did the music make you feel TENDER,1.0,'3',0.43590518832206726,0.43590518832206726,0.0,10.0
To what extent did the music make you feel SCARED,1.0,'3',0.4193990230560303,0.4193990230560303,0.0,7.0

extraInfo
participant,999
session,001
date,2019_Apr_09_1036
expName,MusicAffectPsychophysiology2019
psychopyVersion,3.0.5
frameRate,60.295284837726186
